Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,153.763229,8.488587,3.013613,2.357229,0.497883,3.674029,2.044379,0.45098,2.010332,1.781047,5.146843,2.37438,0.578492,2.012425,0.320152,3.897519,2.925257,3.294838,8.183235,7.394277,97.299469,5.959672,2.167112,2.074366,0.402587
0.0,82.669548,4.982826,2.094107,1.988612,0.599306,2.897943,1.736061,0.503443,2.364998,2.035696,4.721086,1.842654,0.448027,1.788685,0.341411,3.767784,2.109309,3.591225,7.058336,7.000943,53.713108,4.325033,1.773999,1.853602,0.471186
0.0,33.100109,2.559911,1.492845,1.627239,0.690819,2.084227,1.421071,0.593327,2.653017,2.228713,4.323709,1.352173,0.390671,1.586585,0.356667,3.630245,1.653934,4.063978,5.988832,6.733691,22.955637,2.958513,1.479944,1.625336,0.533192
0.0,8.451453,1.402753,1.223614,1.356127,0.747518,1.404952,1.175942,0.731699,2.793856,2.302198,3.988429,1.020395,0.429665,1.436387,0.360683,3.619091,1.850575,4.549856,5.327723,6.650663,7.526789,2.178633,1.312314,1.450494,0.571721
0.0,1.330049,1.198383,1.246338,1.206231,0.755987,0.93189,1.036274,0.92354,2.74916,2.232649,3.688703,0.924337,0.589559,1.330257,0.352033,3.795958,2.829718,4.872726,5.280237,6.732467,3.081201,2.063535,1.31459,1.350482,0.578642
0.0,0.865872,1.417156,1.482584,1.16275,0.720297,0.655831,1.014223,1.148883,2.538718,2.035123,3.353927,1.091009,0.870259,1.245979,0.334986,4.062127,4.446304,4.946271,5.860223,6.9212,2.766887,2.458628,1.487957,1.311326,0.55785
0.0,1.171776,1.808706,1.897497,1.197003,0.658566,0.531562,1.093762,1.368833,2.236348,1.758365,2.958116,1.492908,1.226772,1.174758,0.317193,4.26458,6.293893,4.791201,6.901588,7.119027,2.801378,3.155055,1.798878,1.305161,0.521833
0.0,1.617371,2.212369,2.434497,1.280989,0.594517,0.546016,1.211569,1.527836,1.941514,1.467211,2.543345,2.018239,1.578996,1.130838,0.307247,4.233092,7.803896,4.505532,8.140431,7.234875,2.949041,3.817996,2.186603,1.312545,0.488429
0.0,2.373206,2.531402,2.98352,1.389553,0.547243,0.661175,1.29364,1.584295,1.742629,1.220267,2.156382,2.497442,1.852453,1.128368,0.309603,3.930276,8.469995,4.232354,9.314895,7.244184,3.186141,4.234782,2.568459,1.327366,0.472158
0.0,3.303323,2.760481,3.414654,1.485672,0.52456,0.819439,1.295967,1.551904,1.6883,1.055692,1.865476,2.763334,2.000732,1.157447,0.321315,3.443325,8.125168,4.069933,10.226152,7.178536,3.656052,4.383351,2.888118,1.340735,0.477284
0.0,4.285831,2.934779,3.627265,1.523998,0.523437,0.964342,1.219918,1.477292,1.780597,0.985185,1.618966,2.722846,2.009811,1.182957,0.333644,2.912641,6.97486,4.04925,10.736926,7.079116,4.45522,4.386943,3.127901,1.337031,0.496243
0.0,5.194289,3.113422,3.591804,1.475153,0.534376,1.034592,1.100537,1.421513,1.973863,0.996908,1.396991,2.403348,1.90837,1.167512,0.337182,2.513593,5.494149,4.106355,10.753724,6.96663,5.416687,4.457751,3.29664,1.304574,0.513969
0.0,5.784603,3.30375,3.361179,1.339316,0.547543,1.013262,0.983116,1.409864,2.185459,1.062069,1.199329,1.935966,1.750478,1.090705,0.327232,2.361355,4.211987,4.136968,10.234374,6.855474,6.338241,4.700942,3.429336,1.243941,0.516471
0.0,6.179843,3.431817,3.030686,1.147177,0.557148,0.925719,0.902083,1.414925,2.345819,1.15051,1.096458,1.481416,1.58396,0.968638,0.306723,2.501897,3.459941,4.005494,9.238765,6.748719,7.125103,5.027939,3.552628,1.173809,0.498132
0.0,6.403324,3.410617,2.706218,0.957106,0.561786,0.824543,0.8651,1.414801,2.442477,1.235381,1.117172,1.131395,1.440593,0.854622,0.28441,2.834125,3.245908,3.665029,7.975588,6.644348,7.777267,5.253252,3.663984,1.132066,0.46339
0.0,6.633916,3.193917,2.467058,0.833187,0.56276,0.756188,0.859882,1.398805,2.498252,1.294794,1.28026,0.895816,1.345346,0.807182,0.269843,3.186253,3.315382,3.182332,6.772017,6.555906,8.445085,5.189745,3.73461,1.157242,0.423609
0.0,6.774803,2.79668,2.337054,0.816582,0.561041,0.762843,0.868599,1.372016,2.542031,1.320269,1.516496,0.728627,1.315301,0.857448,0.267961,3.457384,3.326716,2.645373,5.925523,6.487333,9.09771,4.775226,3.726319,1.26355,0.391049
0.0,6.82111,2.317127,2.285239,0.907882,0.555846,0.821073,0.888478,1.339885,2.569546,1.320424,1.7296,0.57638,1.343659,0.988613,0.276874,3.596217,3.10535,2.178535,5.571724,6.395667,9.632841,4.105854,3.598486,1.42584,0.374218
0.0,6.596166,1.897187,2.252438,1.076077,0.543971,0.889462,0.923516,1.303967,2.53232,1.318043,1.823498,0.425865,1.394514,1.150169,0.290993,3.568669,2.689068,1.878147,5.637577,6.252487,9.738687,3.366701,3.34545,1.596389,0.374749
0.0,6.046395,1.640866,2.185158,1.268684,0.522643,0.909218,0.973253,1.259678,2.379849,1.33801,1.803327,0.311001,1.425439,1.279592,0.305052,3.391258,2.204448,1.782859,5.870468,6.062037,9.163213,2.723225,2.9965,1.715915,0.387196
0.0,5.183276,1.588723,2.050337,1.42537,0.492501,0.86402,1.035763,1.182836,2.102525,1.394567,1.759082,0.296944,1.409368,1.328688,0.315879,3.132186,1.815351,1.858774,5.974501,5.847344,7.820702,2.259319,2.610122,1.736883,0.400821
0.0,4.298384,1.793081,1.889549,1.508139,0.457433,0.795107,1.108043,1.05948,1.754402,1.483373,1.824995,0.432794,1.349421,1.286126,0.321864,2.853704,1.645067,2.028699,5.792251,5.648628,6.063686,2.058277,2.29146,1.650711,0.404587
0.0,8.043708,3.060186,1.833256,1.502303,0.426655,0.757682,1.177988,0.90533,1.435791,1.583173,2.074701,0.715507,1.274572,1.171751,0.322445,2.670488,1.71566,2.214373,5.389621,5.522282,7.513434,2.675697,2.137621,1.477599,0.395476
